index,Variable,Value
101,HOCH2CHO+hv->CH3OH+CO,8.509560618255493e-07
102,HOCH2CHO+hv->CH2CHO+OH,5.956692432778846e-07
103,CH2(OH)COCH3+hv->CH3CO+CH2(OH),7.170618109750177e-07
104,CH2(OH)COCH3+hv->CH2(OH)CO+CH3,7.170618109750177e-07
105,CHOCHO+hv->HCO+HCO,6.59071773003058e-05
106,CHOCHO+hv->H2+CO+CO,1.3694776079202569e-05
107,CHOCHO+hv->CH2O+CO,2.4923050977737156e-05
108,CH3COCHO+hv->CH3CO+HCO,0.0001092591922142327
109,CH3COCOCH3+hv->Products,0.0002652145300881561
110,CH3COOH+hv->CH3+COOH,1.0736429481205873e-29
111,CH3COOOH+hv->Products,6.061439037136233e-07
112,CH3COCOOH+hv->Products,0.0003268567075161155
113,CH3CH3NNO+hv->Products,0.0021602234576930134
114,CF2O+hv->Products,2.346812476298995e-31
